household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
1,처치,1,5.0,12.0,603.59,295.0,10.0,48.03,0.0,0.0,1,28.8,9.0,6.0,301.36,6.0,5.0,1,1,5.0,2.5649493574615367,6.404550542347508,0.07957388293377955,0,0.0,0.25665142044694716,-1.063446262625934,True
2,대조,0,18.0,8.0,317.95,130.0,2.0,4.32,0.0,0.0,0,0.0,0.0,0.0,80.79,2.0,18.0,0,1,18.0,2.1972245773362196,5.765034350687964,0.013587041987733922,0,0.0,0.06455699725024273,-2.673471704927134,True
3,대조,0,15.0,13.0,966.58,566.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,321.65,3.0,15.0,0,1,15.0,2.6390573296152584,6.874798108824029,0.0,0,0.0,0.066099821565106,-2.6482035097947927,True
4,대조,0,17.0,7.0,406.27,126.0,2.0,6.98,0.0,0.0,0,3.49,1.0,1.0,170.06,5.0,17.0,1,1,17.0,2.0794415416798357,6.009476356159667,0.01718069264282374,0,0.0,0.07584295547074699,-2.5002171918094267,True
6,대조,0,2.0,38.0,1003.91,372.0,2.0,3.96,0.0,0.0,0,2.79,1.0,1.0,562.53,19.0,2.0,1,1,2.0,3.6635616461296463,6.912653264244329,0.003944576705083125,0,0.0,0.06450782489496197,-2.6742862486360135,True
7,대조,0,8.0,7.0,316.27,111.0,3.0,7.470000000000001,0.0,0.0,1,0.0,0.0,0.0,204.78,4.0,8.0,0,1,8.0,2.0794415416798357,5.759753146372618,0.023619059664210962,0,0.0,0.08397565580412181,-2.389515995969983,True
8,처치,1,5.0,17.0,693.01,318.0,1.0,3.89,0.0,0.0,1,7.78,2.0,2.0,412.8,8.0,5.0,1,1,5.0,2.8903717578961645,6.5424863696248945,0.005613194614796323,0,0.0,0.06820146767279636,-2.614650539540393,True
13,대조,0,6.0,42.0,1912.72,285482.0,4.0,22.23,0.0,0.0,1,3.89,1.0,1.0,975.72,24.0,6.0,1,1,6.0,3.7612001156935624,7.556804270820284,0.011622192479819314,0,0.0,0.09344296373766575,-2.272302710764082,True
16,대조,0,1.0,23.0,391.56,31580.0,1.0,1.98,0.0,0.0,1,0.0,0.0,0.0,246.14000000000001,16.0,1.0,0,1,1.0,3.1780538303479458,5.972689391781648,0.005056696291756053,0,0.0,0.054784255652675556,-2.848010355268002,True
18,대조,0,4.0,20.0,1114.07,34918.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,362.14,11.0,4.0,0,1,4.0,3.044522437723423,7.016672462192679,0.0,0,0.0,0.06942796118777361,-2.5955098072205796,True
19,대조,0,4.0,35.0,1109.89,63216.0,6.0,11.95,0.0,0.0,1,2.34,1.0,1.0,620.53,22.0,4.0,1,1,4.0,3.58351893845611,7.012916774836836,0.01076683274919136,0,0.0,0.07993219051740959,-2.443268716576481,True
20,대조,0,2.0,48.0,969.38,66903.0,18.0,60.160000000000004,0.0,0.0,1,53.300000000000004,16.0,16.0,813.08,41.0,2.0,1,1,2.0,3.8918202981106265,6.877687747359742,0.062060285955971864,0,0.0,0.19001851633223033,-1.449889865943502,True
23,대조,0,1.0,21.0,606.0,74422.0,3.0,10.91,0.0,0.0,0,13.56,4.0,2.0,434.46,16.0,1.0,1,1,1.0,3.091042453358316,6.408528791059498,0.018003300330033004,0,0.0,0.07819744410178024,-2.467094090111235,True
26,대조,0,12.0,6.0,187.5,77.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,198.72,7.0,12.0,0,1,12.0,1.9459101490553132,5.2390980068880655,0.0,0,0.0,0.043487563302298096,-3.090818794972895,True
28,대조,0,2.0,23.0,362.93,109.0,2.0,6.0,0.0,0.0,0,0.0,0.0,0.0,107.62,5.0,2.0,0,1,2.0,3.1780538303479458,5.8969615414509375,0.01653211363072769,0,0.0,0.06417636315257473,-2.679792068843102,True
31,대조,0,9.0,4.0,288.2,34846.0,1.0,6.79,0.0,0.0,1,0.0,0.0,0.0,73.25,2.0,9.0,0,1,9.0,1.6094379124341003,5.66711849028461,0.02356002775850104,0,0.0,0.08632884940513645,-2.359306880951573,True
36,대조,0,19.0,11.0,400.66,222.0,1.0,2.39,0.0,0.0,0,0.0,0.0,0.0,88.83,12.0,19.0,0,1,19.0,2.4849066497880004,5.9956059596085325,0.0059651574901412666,0,0.0,0.05746325509114929,-2.7974292035669497,True
37,대조,0,4.0,10.0,407.51,19773.0,2.0,14.870000000000001,0.0,0.0,0,0.0,0.0,0.0,380.33,6.0,4.0,0,1,4.0,2.3978952727983707,6.012516393804594,0.036489902088292316,0,0.0,0.10715761320012698,-2.1201092955611642,True
38,처치,1,2.0,4.0,46.86,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.77,1.0,2.0,0,1,2.0,1.6094379124341003,3.868280082480227,0.0,0,0.0,0.029738198280757678,-3.485133576919295,True
40,대조,0,2.0,59.0,1657.06,155773.0,3.0,10.77,0.0,0.0,1,3.8899999999999997,2.0,2.0,1009.91,36.0,2.0,1,1,2.0,4.0943445622221,7.413403523218992,0.006499462904179691,0,0.0,0.07820796823202739,-2.466948098129372,True
41,대조,0,2.0,7.0,159.27,71.0,0.0,0.0,0.0,0.0,0,6.98,2.0,2.0,253.63,8.0,2.0,1,1,2.0,2.0794415416798357,5.0768598930054845,0.0,0,0.0,0.04110722714433892,-3.149595308248248,True
42,대조,0,6.0,13.0,354.62,226.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,173.84,9.0,6.0,0,1,6.0,2.6390573296152584,5.873862745027802,0.0,0,0.0,0.051145365825925014,-2.920583720373658,True
43,대조,0,4.0,18.0,148.82,1224.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,311.5,22.0,4.0,0,1,4.0,2.9444389791664403,5.009434573519737,0.0,0,0.0,0.03752793388789607,-3.2444194841690455,True
45,대조,0,11.0,19.0,231.09,98.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.38000000000001,8.0,11.0,0,1,11.0,2.995732273553991,5.447125227475003,0.0,0,0.0,0.0406105869115896,-3.162268260092789,True
46,대조,0,4.0,16.0,987.36,369.0,4.0,13.05,0.0,0.0,1,15.18,4.0,3.0,893.69,10.0,4.0,1,1,4.0,2.833213344056216,6.896047003849977,0.013217063684978124,0,0.0,0.08872110971567843,-2.3293511358054273,True
47,대조,0,2.0,12.0,314.7,108.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,130.72,11.0,2.0,0,1,2.0,2.5649493574615367,5.754792395563946,0.0,0,0.0,0.04782236593893182,-2.991258171050391,True
48,대조,0,30.0,2.0,18.5,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,13.12,1.0,30.0,0,1,30.0,1.0986122886681098,2.970414465569701,0.0,0,0.0,0.024083191108940763,-3.701863213192399,True
49,대조,0,4.0,10.0,479.46000000000004,81443.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,816.25,14.0,4.0,0,1,4.0,2.3978952727983707,6.174743978327049,0.0,0,0.0,0.05807071966617238,-2.7862686254151217,True
55,대조,0,4.0,21.0,317.74,74.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,73.72,11.0,4.0,0,1,4.0,3.091042453358316,5.764375723431487,0.0,0,0.0,0.04675140106318923,-3.015031504409708,True
56,대조,0,4.0,33.0,1131.17,514.0,7.0,23.01,0.0,0.0,1,27.24,7.0,7.0,594.19,17.0,4.0,1,1,4.0,3.5263605246161616,7.031891424166185,0.020341770025725577,0,0.0,0.09724025120924132,-2.228271726253392,True
57,대조,0,4.0,32.0,449.02,22896.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,637.3,23.0,4.0,0,1,4.0,3.4965075614664802,6.109292026221185,0.0,0,0.0,0.049462600103833826,-2.955810678214502,True
58,대조,0,1.0,40.0,1547.69,227657.0,8.0,24.02,0.0,0.0,1,27.040000000000003,6.0,6.0,678.53,25.0,1.0,1,1,1.0,3.713572066704308,7.345164691272807,0.015519903856715492,0,0.0,0.09556355632449316,-2.247520498178705,True
64,대조,0,1.0,39.0,438.53000000000003,247.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,224.15,22.0,1.0,0,1,1.0,3.6888794541139363,6.085705974181331,0.0,0,0.0,0.04599505996440789,-3.032134851025189,True
65,대조,0,10.0,14.0,263.9,74.0,1.0,2.99,0.0,0.0,0,14.58,11.0,8.0,210.66,9.0,10.0,1,1,10.0,2.70805020110221,5.579352396278024,0.011330049261083745,0,0.0,0.055162495645923626,-2.840729663979805,True
67,대조,0,1.0,26.0,1316.68,532.0,5.0,15.8,0.0,0.0,1,0.0,0.0,0.0,446.79,12.0,1.0,0,1,1.0,3.295836866004329,7.18362789347442,0.011999878482243218,0,0.0,0.08960386503522805,-2.3184813623333014,True
69,대조,0,2.0,18.0,1216.08,579.0,2.0,3.96,0.0,0.0,0,3.39,1.0,1.0,711.92,12.0,2.0,1,1,2.0,2.9444389791664403,7.104209826242005,0.0032563647128478392,0,0.0,0.07387169498821915,-2.5286830465425516,True
71,대조,0,2.0,13.0,462.25,125.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,76.0,2.0,2.0,0,1,2.0,2.6390573296152584,6.138266865165469,0.0,0,0.0,0.05581744811940992,-2.8282330178573556,True
72,대조,0,8.0,15.0,810.47,20173.0,29.0,31.98,0.0,0.0,0,6.0,11.0,9.0,530.28,9.0,8.0,1,1,8.0,2.772588722239781,6.698847417694582,0.03945858575888065,0,0.0,0.13160471648300875,-1.886844148970538,True
73,대조,0,7.0,23.0,359.34,45398.0,8.0,17.87,0.0,0.0,0,4.59,1.0,1.0,326.56,18.0,7.0,1,1,7.0,3.1780538303479458,5.887048030187554,0.04973006066677799,0,0.0,0.12000302891437922,-1.9924014821015117,True
74,대조,0,5.0,22.0,362.8,249.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,166.71,9.0,5.0,0,1,5.0,3.1354942159291497,5.896604266084022,0.0,0,0.0,0.04839946538177605,-2.978656572407957,True
77,대조,0,13.0,8.0,322.08,118.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,59.300000000000004,1.0,13.0,0,1,13.0,2.1972245773362196,5.777899970574095,0.0,0,0.0,0.052070908908330854,-2.901673278499946,True
