household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c
2,대조,0,48.0,3.0,167.45000000000002,60.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,62.19,2.0,48.0,0,1,48.0,1.3862943611198906,5.126638969852562,0.0,0,0.0
7,대조,0,1.0,8.0,489.89,254.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,275.41,3.0,1.0,0,1,1.0,2.1972245773362196,6.196220070108914,0.0,0,0.0
14,대조,0,3.0,30.0,606.75,36344.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,154.12,13.0,3.0,0,1,3.0,3.4339872044851463,6.409763613196232,0.0,0,1.0
26,대조,0,28.0,9.0,231.49,117.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,34.47,3.0,28.0,0,1,28.0,2.302585092994046,5.448847213349734,0.0,0,0.0
31,대조,0,16.0,2.0,295.87,16988.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,135.69,1.0,16.0,0,1,16.0,1.0986122886681098,5.693294332541813,0.0,0,0.0
36,대조,0,13.0,14.0,133.27,43.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,304.91,14.0,13.0,0,1,13.0,2.70805020110221,4.899852698084617,0.0,0,0.0
38,대조,0,24.0,6.0,75.69,29.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,35.39,2.0,24.0,0,1,24.0,1.9459101490553132,4.339771321776768,0.0,0,1.0
41,대조,0,14.0,11.0,319.5,155.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,190.79,4.0,14.0,0,1,14.0,2.4849066497880004,5.7698822763607245,0.0,0,0.0
48,대조,0,61.0,1.0,13.12,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,36.27,2.0,61.0,0,1,61.0,0.6931471805599453,2.647592232065096,0.0,0,0.0
71,대조,0,7.0,12.0,442.8,107.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,296.72,7.0,7.0,0,1,7.0,2.5649493574615367,6.095374010498493,0.0,0,0.0
72,처치,1,1.0,13.0,1135.2,567.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,381.99,7.0,1.0,0,1,1.0,2.6390573296152584,7.035444640123027,0.0,0,0.0
77,대조,0,2.0,8.0,497.97,229.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,322.51,5.0,2.0,0,1,2.0,2.1972245773362196,6.212545973703744,0.0,0,0.0
79,대조,0,1.0,27.0,741.75,24652.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,336.11,15.0,1.0,0,1,1.0,3.332204510175204,6.610359514342717,0.0,0,0.0
80,대조,0,3.0,15.0,337.11,2232.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,141.96,4.0,3.0,0,1,3.0,2.772588722239781,5.823371286324659,0.0,0,0.0
83,대조,0,14.0,15.0,147.22,82.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,24.05,2.0,14.0,0,1,14.0,2.772588722239781,4.998697656523213,0.0,0,1.0
91,대조,0,3.0,17.0,282.14,29121.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,176.96,11.0,3.0,0,1,3.0,2.8903717578961645,5.645941474966351,0.0,0,0.0
96,대조,0,12.0,8.0,239.16,94.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,34.83,2.0,12.0,0,1,12.0,2.1972245773362196,5.4813053678851515,0.0,0,2.0
111,대조,0,16.0,4.0,165.01,75.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,83.66,4.0,16.0,0,1,16.0,1.6094379124341003,5.112048027505985,0.0,0,0.0
112,대조,0,3.0,21.0,251.18,20867.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.82,2.0,3.0,0,1,3.0,3.091042453358316,5.53014311824508,0.0,0,0.0
