household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
36,처치,1,1.0,25.0,547.59,274.0,2.0,6.99,0.0,0.0,0,17.66,5.0,5.0,403.79,11.0,1.0,1,1,1.0,3.258096538021482,6.307351350120086,0.012765024927409193,0,0.0,0.07205826420692585,-2.555493929243268,True,pair_36_1354
49,처치,1,4.0,20.0,892.04,156582.0,2.0,9.0,0.0,1.0,1,2.5,1.0,1.0,445.3,4.0,4.0,1,1,4.0,3.044522437723423,6.794631372706477,0.01008923366665172,0,1.0,0.12361523923803547,-1.9586313868900882,True,pair_49_1815
104,처치,1,1.0,22.0,873.9300000000001,498.0,6.0,16.03,0.0,1.0,1,0.0,0.0,0.0,65.5,6.0,1.0,0,1,1.0,3.1354942159291497,6.774143883157444,0.018342430171752886,0,1.0,0.1323546916558591,-1.8802976233089885,True,pair_104_1988
138,처치,1,4.0,6.0,422.79,238.0,10.0,25.5,0.0,1.0,0,0.0,0.0,0.0,41.78,2.0,4.0,0,1,4.0,1.9459101490553132,6.049238049519942,0.060313630880579006,0,1.0,0.12234712181334101,-1.9703888949156552,True,pair_138_2364
139,대조,0,10.0,19.0,548.04,32726.0,3.0,10.47,0.0,0.0,1,2.5,1.0,1.0,207.76,7.0,10.0,1,1,10.0,2.995732273553991,6.308171298600379,0.019104444931026934,0,0.0,0.11768958252241661,-2.0144934397228083,True,pair_2086_139
220,처치,1,7.0,14.0,329.05,26787.0,5.0,10.79,0.0,0.0,1,0.0,0.0,0.0,302.96999999999997,8.0,7.0,0,1,7.0,2.70805020110221,5.79924415813478,0.03279136909284303,0,0.0,0.10683922758754305,-2.1234414423710817,True,pair_220_485
266,처치,1,19.0,5.0,189.02,14617.0,5.0,22.16,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,19.0,1.791759469228055,5.247129329778604,0.11723627129404296,0,0.0,0.2089974560350179,-1.3309791040907832,True,pair_266_1946
301,처치,1,2.0,13.0,1265.99,524.0,13.0,43.42,0.0,0.0,1,7.5,3.0,3.0,374.65,4.0,2.0,1,1,2.0,2.6390573296152584,7.144399287630166,0.034297269330721414,0,0.0,0.18215581549421472,-1.50180938507279,True,pair_301_1917
339,대조,0,4.0,12.0,359.14,257.0,0.0,0.0,0.0,1.0,0,1.5,1.0,1.0,142.75,6.0,4.0,1,1,4.0,2.5649493574615367,5.886492844741359,0.0,0,1.0,0.05062257248955615,-2.9314088568496843,True,pair_2394_339
374,대조,0,1.0,25.0,1776.26,36489.0,2.0,6.99,0.0,3.0,0,0.0,0.0,0.0,181.18,6.0,1.0,0,1,1.0,3.258096538021482,7.4828281314641805,0.003935234706630786,0,3.0,0.11893919166262512,-2.002514277425962,True,pair_2107_374
