campaign_id,type,period_days,status,n_treatment,n_control,n_common_support_t,n_common_support_c,n_matched_pairs,match_rate,max_abs_smd,raw_diff_target_sales,matched_diff_target_sales,matched_ci_lo,matched_ci_hi,matched_effect_significant
1,TypeB,38,insufficient_sample,2,1034,,,,,,,,,,
2,TypeB,33,insufficient_sample,12,1034,,,,,,,,,,
3,TypeC,57,insufficient_sample,0,368,,,,,,,,,,
4,TypeB,33,residual_imbalance,45,1136,45.0,1007.0,45.0,1.0,0.234,,,,,
5,TypeB,35,residual_imbalance,88,1136,88.0,1046.0,86.0,0.9773,0.232,,,,,
6,TypeC,33,insufficient_sample,4,468,,,,,,,,,,
7,TypeB,35,insufficient_sample,16,468,,,,,,,,,,
8,TypeA,49,ok,768,443,761.0,443.0,391.0,0.5091,0.041,35.5772,-6.2048,-16.3901,3.9805,False
9,TypeB,33,residual_imbalance,38,449,38.0,413.0,38.0,1.0,0.346,,,,,
10,TypeB,33,residual_imbalance,45,1035,44.0,1022.0,44.0,0.9778,0.261,,,,,
11,TypeB,47,insufficient_sample,14,461,,,,,,,,,,
12,TypeB,33,insufficient_sample,16,461,,,,,,,,,,
13,TypeA,48,residual_imbalance,636,458,625.0,456.0,295.0,0.4638,0.101,,,,,
14,TypeC,66,insufficient_sample,5,234,,,,,,,,,,
15,TypeC,162,insufficient_sample,0,188,,,,,,,,,,
16,TypeB,33,insufficient_sample,14,392,,,,,,,,,,
17,TypeB,33,insufficient_sample,6,375,,,,,,,,,,
18,TypeA,56,ok,510,335,506.0,325.0,262.0,0.5137,0.047,47.5011,13.6719,-4.5126,31.8565,False
19,TypeB,33,insufficient_sample,17,365,,,,,,,,,,
20,TypeC,71,insufficient_sample,15,346,,,,,,,,,,
21,TypeB,33,insufficient_sample,8,357,,,,,,,,,,
22,TypeB,33,insufficient_sample,20,357,,,,,,,,,,
23,TypeB,39,residual_imbalance,51,960,51.0,585.0,49.0,0.9608,0.349,,,,,
24,TypeB,61,residual_imbalance,41,1089,41.0,626.0,38.0,0.9268,0.708,,,,,
25,TypeB,33,residual_imbalance,63,1089,61.0,905.0,61.0,0.9683,0.231,,,,,
26,TypeA,41,residual_imbalance,310,1249,310.0,1232.0,310.0,1.0,0.105,,,,,
27,TypeC,64,insufficient_sample,1,1162,,,,,,,,,,
28,TypeB,62,insufficient_sample,2,1162,,,,,,,,,,
29,TypeB,54,residual_imbalance,79,1141,79.0,1067.0,78.0,0.9873,0.155,,,,,
30,TypeA,47,ok,272,1124,270.0,1124.0,176.0,0.6471,0.091,1.9996,1.9209,-2.0412,5.8831,False
